,Id,Nome,EsportePai
277,277,"Equestrianism Men's Vaulting, Individual",Equestrianism
278,278,"Equestrianism Men's Vaulting, Team",Equestrianism
279,279,"Equestrianism Mixed Dressage, Individual",Equestrianism
280,280,"Equestrianism Mixed Dressage, Team",Equestrianism
281,281,Equestrianism Mixed Four-In-Hand Competition,Equestrianism
282,282,Equestrianism Mixed Hacks And Hunter Combined,Equestrianism
283,283,Equestrianism Mixed High Jump,Equestrianism
284,284,"Equestrianism Mixed Jumping, Individual",Equestrianism
285,285,"Equestrianism Mixed Jumping, Team",Equestrianism
286,286,Equestrianism Mixed Long Jump,Equestrianism
287,287,"Equestrianism Mixed Three-Day Event, Individual",Equestrianism
288,288,"Equestrianism Mixed Three-Day Event, Team",Equestrianism
289,289,Fencing,-
290,290,"Fencing Men's Foil, Individual",Fencing
291,291,"Fencing Men's Foil, Masters, Individual",Fencing
292,292,"Fencing Men's Foil, Team",Fencing
293,293,"Fencing Men's Sabre, Individual",Fencing
294,294,"Fencing Men's Sabre, Individual, Three Hits",Fencing
295,295,"Fencing Men's Sabre, Masters, Individual",Fencing
296,296,"Fencing Men's Sabre, Team",Fencing
297,297,"Fencing Men's Single Sticks, Individual",Fencing
298,298,"Fencing Men's epee, Individual",Fencing
299,299,"Fencing Men's epee, Masters and Amateurs, Individual",Fencing
300,300,"Fencing Men's epee, Masters, Individual",Fencing
301,301,"Fencing Men's epee, Team",Fencing
302,302,"Fencing Women's Foil, Individual",Fencing
303,303,"Fencing Women's Foil, Team",Fencing
304,304,"Fencing Women's Sabre, Individual",Fencing
305,305,"Fencing Women's Sabre, Team",Fencing
306,306,"Fencing Women's epee, Individual",Fencing
307,307,"Fencing Women's epee, Team",Fencing
308,308,Figure Skating,-
309,309,Figure Skating Men's Singles,Figure Skating
310,310,Figure Skating Men's Special Figures,Figure Skating
311,311,Figure Skating Mixed Pairs,Figure Skating
312,312,Figure Skating Women's Singles,Figure Skating
313,313,Football,-
314,314,Football Men's Football,Football
315,315,Football Women's Football,Football
316,316,Golf,-
317,317,Golf Men's Individual,Golf
318,318,Golf Men's Team,Golf
