,IdModalidade,AnoEdicao,Ouro,Prata,Bronze
127,127,2020,USA,JPN,NED
128,128,2020,NED,NED,GBR
129,129,2020,DEN,GBR,FRA
130,130,2020,NED,NZL,CAN
131,131,2020,GER,GBR,USA
132,132,2020,CAN,UKR,-
133,133,2020,CHN,-,GBR
134,134,2020,GBR,CHN,ROC
135,135,2020,CHN,USA,GER
136,136,2020,CHN,CHN,-
137,137,2020,CHN,USA,-
138,138,2020,CHN,CHN,AUS
139,139,2020,CHN,CAN,GER
140,140,2020,-,-,GBR
141,141,2020,GER,-,AUS
142,142,2020,GBR,AUS,FRA
143,143,2020,-,-,NED
144,144,2020,SWE,USA,BEL
145,145,2020,GER,GER,GBR
146,146,2020,GER,USA,GBR
147,147,2020,JPN,ROC,KOR
148,148,2020,-,-,FRA
149,149,2020,FRA,ROC,USA
150,150,2020,HKG,ITA,CZE
151,151,2020,EST,KOR,ITA
152,152,2020,KOR,ITA,HUN
153,153,2020,FRA,HUN,UKR
154,154,2020,ROC,FRA,KOR
155,155,2020,HUN,ITA,KOR
156,156,2020,CHN,ROU,EST
157,157,2020,USA,-,-
158,158,2020,ROC,FRA,ITA
159,159,2020,BRA,ESP,MEX
160,160,2020,CAN,SWE,USA
161,161,2020,USA,JPN,NZL
162,162,2020,USA,-,-
163,163,2020,FRA,DEN,ESP
164,164,2020,FRA,ROC,NOR
165,165,2020,NED,ARG,GBR
166,166,2020,BEL,AUS,IND
167,167,2020,JPN,GEO,KOR
168,168,2020,JPN,GEO,KOR
169,169,2020,JPN,TPE,FRA
170,170,2020,JPN,CUB,FRA
171,171,2020,FRA,JPN,ISR
172,172,2020,-,FRA,GBR
173,173,2020,KOS,JPN,UKR
174,174,2020,CZE,GEO,ROC
175,175,2020,JPN,KOR,POR
176,176,2020,FRA,SLO,ITA
177,177,2020,-,FRA,CAN
178,178,2020,JPN,MGL,AUT
179,179,2020,-,AUT,ROC
180,180,2020,GEO,GER,UZB
181,181,2020,JPN,FRA,GER
182,182,2020,BUL,UKR,AUT
183,183,2020,EGY,AZE,KAZ
184,184,2020,FRA,-,KAZ
