,IdAtleta,AnoEdicao,IdModalidade,Altura,Peso,Medalha
70,6264,2000,160,192.0,90.0,-
71,20417,2016,182,178.0,72.0,-
72,1184,2000,62,195.0,85.0,-
73,30662,2016,337,180.0,104.0,-
74,36145,2000,235,172.0,80.0,-
75,6635,2016,144,167.0,58.0,-
76,6635,2016,145,167.0,58.0,-
77,8162,2008,184,184.0,87.0,Bronze
78,11350,2008,184,179.0,80.0,-
79,17640,2008,239,164.0,63.0,-
80,21577,2016,126,163.0,52.0,-
81,23139,2000,235,185.0,91.0,-
82,24830,2008,261,191.0,88.0,Silver
83,18043,2008,3,165.0,57.0,-
84,24666,2000,358,185.0,98.0,-
85,24666,2004,358,185.0,98.0,-
86,24666,2012,356,185.0,98.0,-
87,21184,2008,329,195.0,94.0,-
88,24667,2004,181,192.0,83.0,-
89,24667,2008,181,192.0,83.0,-
90,26421,2008,314,-,-,-
91,29133,2008,298,167.0,60.0,-
92,29133,2008,299,167.0,60.0,-
93,29133,2012,299,167.0,60.0,-
94,1471,2008,17,163.0,57.0,-
95,13124,2016,329,203.0,97.0,-
96,25885,2004,312,175.0,56.0,Silver
97,21160,2016,135,172.0,61.0,-
98,21185,2000,329,174.0,70.0,-
99,24579,2000,244,168.0,68.0,-
100,24580,2000,114,174.0,69.0,-
101,12718,2000,298,154.0,48.0,-
102,12718,2004,298,154.0,48.0,-
103,30970,2000,298,153.0,46.0,-
104,28814,2004,332,186.0,100.0,-
105,35868,2008,181,-,-,-
106,17324,2004,332,188.0,92.0,-
107,507,2008,329,197.0,87.0,-
108,507,2016,329,197.0,87.0,-
109,36661,2008,364,180.0,120.0,-
110,30805,2008,246,170.0,60.0,-
111,30805,2016,243,170.0,60.0,-
112,30805,2016,246,170.0,60.0,-
113,13391,2004,152,190.0,83.0,-
114,17174,2000,209,190.0,95.0,-
115,29277,2000,72,165.0,48.0,-
116,523,2000,78,195.0,95.0,-
117,31715,2004,254,165.0,57.0,-
118,31715,2008,254,165.0,57.0,-
119,31715,2016,254,165.0,57.0,-
120,508,2016,329,188.0,89.0,-
121,21186,2016,76,176.0,60.0,-
122,24607,2016,190,175.0,81.0,-
123,21181,2008,243,-,-,-
124,13410,2012,341,173.0,77.0,-
125,13410,2016,341,173.0,77.0,-
126,4020,2008,299,159.0,51.0,-
127,47,2008,6,170.0,58.0,-
128,28803,2012,338,170.0,94.0,-
129,28803,2016,340,170.0,94.0,-
130,24583,2004,244,170.0,70.0,-
131,24583,2008,244,170.0,70.0,-
132,3996,2016,160,184.0,68.0,-
133,19642,2016,299,160.0,46.0,-
134,31209,2012,360,170.0,60.0,-
135,509,2016,187,165.0,60.0,-
136,13559,2012,24,194.0,96.0,-
137,28965,2000,169,167.0,63.0,-
138,28965,2000,168,167.0,63.0,-
139,28965,2000,170,167.0,63.0,-
140,28965,2000,172,167.0,63.0,-
141,28965,2000,171,167.0,63.0,-
142,192,2008,181,-,-,-
143,21370,2016,329,207.0,90.0,-
144,24957,2008,330,173.0,60.0,-
145,24957,2012,330,173.0,60.0,-
146,30542,2012,366,170.0,80.0,-
147,30542,2016,362,170.0,80.0,Bronze
148,4209,2016,17,176.0,56.0,-
149,4209,2016,7,176.0,56.0,-
150,37181,2008,12,178.0,66.0,-
151,37181,2012,12,178.0,66.0,-
152,113,2000,7,178.0,61.0,-
153,113,2004,7,178.0,61.0,-
154,113,2008,7,178.0,61.0,-
155,113,2012,26,178.0,61.0,-
156,1472,2000,366,169.0,74.0,-
157,1472,2004,361,169.0,74.0,-
158,1472,2008,361,169.0,74.0,-
159,12369,2008,279,-,-,-
160,37014,2012,76,176.0,60.0,-
161,17049,2000,357,175.0,85.0,-
162,28966,2004,202,165.0,60.0,-
163,10326,2016,330,180.0,67.0,-
164,4472,2016,76,165.0,60.0,-
165,21239,2016,35,147.0,50.0,-
166,4210,2000,160,180.0,73.0,-
167,5777,2000,184,163.0,61.0,-
168,31716,2000,305,160.0,53.0,-
169,31716,2000,304,160.0,53.0,-
170,31716,2008,305,160.0,53.0,-
171,15143,2000,249,172.0,90.0,-
172,24585,2000,279,175.0,55.0,-
173,10304,2000,295,-,-,-
174,7227,2008,32,163.0,56.0,-
175,7227,2012,32,163.0,56.0,-
176,27545,2004,347,158.0,58.0,-
177,12275,2004,160,185.0,80.0,-
178,12277,2004,160,175.0,75.0,-
179,30251,2008,48,180.0,59.0,-
180,24817,2012,157,166.0,61.0,-
181,510,2012,79,-,-,-
182,499,2008,7,164.0,55.0,-
183,3433,2004,211,187.0,83.0,-
184,35890,2000,278,188.0,77.0,-
185,159,2016,71,188.0,91.0,-
186,3503,2000,353,164.0,60.0,-
187,25065,2000,75,169.0,63.0,Gold
188,25076,2012,364,190.0,130.0,-
189,25076,2016,364,190.0,130.0,-
190,25305,2000,351,167.0,55.0,Gold
191,25305,2004,353,167.0,55.0,-
192,19407,2012,41,170.0,47.0,-
193,38186,2008,362,175.0,74.0,-
194,188,2008,346,162.0,72.0,-
195,188,2012,345,162.0,72.0,-
196,1841,2012,160,168.0,68.0,-
197,27073,2012,160,168.0,62.0,-
198,31842,2008,299,170.0,59.0,-
199,31842,2012,298,170.0,59.0,-
200,31842,2012,299,170.0,59.0,-
201,35857,2016,77,178.0,74.0,-
202,24590,2008,336,162.0,69.0,-
203,24590,2012,339,162.0,69.0,-
204,17000,2000,62,202.0,104.0,Gold
205,31922,2004,77,178.0,73.0,-
206,29015,2008,308,183.0,74.0,-
207,29015,2012,311,183.0,74.0,-
208,4328,2016,361,172.0,74.0,-
209,25064,2016,191,192.0,117.0,-
210,346,2016,76,172.0,60.0,-
211,37569,2004,361,170.0,84.0,-
212,37569,2008,357,170.0,84.0,Silver
213,37569,2012,357,170.0,84.0,-
214,2535,2000,22,190.0,125.0,-
215,3969,2004,68,162.0,54.0,-
216,31971,2000,60,179.0,91.0,-
217,31971,2008,60,179.0,91.0,-
218,37159,2000,114,175.0,67.0,-
219,37326,2004,160,177.0,75.0,-
220,32422,2008,3,-,-,-
221,24797,2012,149,180.0,83.0,-
222,24797,2016,149,180.0,83.0,-
223,32496,2004,205,169.0,48.0,-
224,5087,2008,299,163.0,52.0,-
225,15200,2008,136,160.0,62.0,-
226,15200,2012,136,160.0,62.0,-
227,15200,2012,138,160.0,62.0,Bronze
228,15200,2016,136,160.0,62.0,-
229,15200,2016,138,160.0,62.0,-
230,17668,2008,177,165.0,55.0,-
231,17668,2008,178,165.0,55.0,-
232,17668,2008,175,165.0,55.0,-
233,17668,2008,179,165.0,55.0,-
234,17668,2008,174,165.0,55.0,-
235,21508,2000,31,163.0,46.0,-
236,21508,2004,49,163.0,46.0,-
237,36634,2012,197,-,62.0,-
238,3616,2008,20,184.0,85.0,-
239,3616,2016,20,184.0,85.0,-
240,16393,2016,160,176.0,66.0,-
241,11544,2000,26,166.0,58.0,Gold
242,33961,2016,26,192.0,68.0,-
243,24591,2012,160,187.0,75.0,-
244,23771,2000,60,182.0,84.0,Gold
245,9459,2004,30,159.0,40.0,-
246,9459,2004,41,159.0,40.0,-
247,9459,2008,41,159.0,40.0,Silver
248,9459,2008,31,159.0,40.0,-
249,30357,2000,253,160.0,53.0,-
250,30357,2000,258,160.0,53.0,-
251,23202,2016,268,180.0,74.0,-
252,25377,2016,70,166.0,52.0,-
253,18716,2008,97,180.0,80.0,-
254,18716,2008,95,180.0,80.0,-
255,27280,2008,55,177.0,68.0,-
256,27280,2012,55,177.0,68.0,-
257,27280,2016,55,177.0,68.0,-
258,30549,2008,195,160.0,78.0,-
259,24506,2008,14,169.0,62.0,-
260,34612,2012,50,173.0,53.0,-
261,5655,2016,224,162.0,56.0,-
262,5295,2012,161,168.0,60.0,-
263,5295,2016,161,168.0,60.0,-
264,9670,2012,37,159.0,54.0,-
265,4724,2016,303,170.0,68.0,-
266,13728,2008,31,164.0,58.0,-
267,5753,2004,72,163.0,48.0,-
268,8234,2016,333,175.0,75.0,-
269,8054,2012,173,161.0,62.0,-
270,8054,2012,166,161.0,62.0,Bronze
271,8054,2012,168,161.0,62.0,Silver
272,8054,2012,170,161.0,62.0,-
273,8054,2012,167,161.0,62.0,-
274,8054,2012,172,161.0,62.0,-
275,8054,2016,173,161.0,62.0,Silver
276,8054,2016,166,161.0,62.0,-
277,8054,2016,168,161.0,62.0,Silver
278,8054,2016,172,161.0,62.0,Bronze
279,34233,2016,330,182.0,78.0,-
280,5175,2012,38,170.0,53.0,-
281,23166,2016,279,197.0,92.0,-
282,23166,2016,274,197.0,92.0,Bronze
283,79,2016,329,210.0,88.0,-
284,3740,2000,329,186.0,86.0,-
285,3740,2008,329,186.0,86.0,-
286,3740,2016,329,186.0,86.0,-
287,21125,2000,181,188.0,85.0,-
288,24695,2000,352,168.0,54.0,-
289,37631,2000,16,182.0,79.0,-
290,37636,2000,160,171.0,65.0,-
291,13408,2004,29,190.0,65.0,-
292,13408,2008,29,190.0,65.0,-
293,28627,2012,17,180.0,64.0,-
294,21371,2016,181,183.0,85.0,-
295,717,2012,147,188.0,87.0,Silver
296,717,2012,148,188.0,87.0,-
297,717,2016,147,188.0,87.0,-
298,717,2016,148,188.0,87.0,-
299,9128,2004,190,178.0,81.0,-
300,31288,2004,160,-,-,-
301,24691,2012,160,182.0,77.0,-
302,23590,2016,219,170.0,62.0,-
303,33439,2016,26,178.0,61.0,-
304,3434,2000,362,191.0,84.0,-
305,3434,2004,358,191.0,84.0,Silver
306,3434,2008,358,191.0,84.0,-
307,6763,2008,184,178.0,68.0,-
308,36857,2016,51,182.0,95.0,-
309,2574,2008,1,176.0,70.0,-
310,2574,2008,2,176.0,70.0,-
311,27821,2004,329,198.0,89.0,Bronze
312,1645,2016,39,163.0,53.0,-
313,4380,2016,28,186.0,115.0,-
314,3556,2008,11,183.0,72.0,-
315,3556,2012,11,183.0,72.0,-
316,1871,2012,160,172.0,70.0,-
317,8429,2016,323,183.0,73.0,-
318,11778,2004,77,185.0,75.0,-
319,24891,2008,65,188.0,73.0,-
320,38262,2012,49,164.0,52.0,-
321,38262,2016,49,164.0,52.0,-
322,19290,2012,123,162.0,50.0,-
323,855,2016,62,198.0,93.0,Bronze
324,4819,2016,279,180.0,70.0,-
325,2070,2016,327,164.0,51.0,-
326,33325,2000,63,188.0,77.0,-
327,33325,2008,63,188.0,77.0,Bronze
328,16932,2004,111,180.0,68.0,Gold
329,16932,2008,111,180.0,68.0,Gold
330,16932,2012,111,180.0,68.0,-
331,16932,2016,111,180.0,68.0,-
332,3973,2012,26,168.0,62.0,-
333,25285,2008,3,160.0,57.0,-
334,24592,2008,8,173.0,74.0,-
335,140,2004,160,180.0,79.0,-
336,23673,2012,26,168.0,67.0,-
337,23673,2016,26,168.0,67.0,-
338,21174,2012,192,172.0,72.0,-
339,27074,2000,273,178.0,69.0,-
340,27074,2004,265,178.0,69.0,-
341,25262,2004,15,172.0,63.0,-
342,25262,2008,15,172.0,63.0,-
343,30913,2004,42,157.0,52.0,-
344,214,2000,77,182.0,75.0,-
345,10690,2008,39,150.0,64.0,-
346,10690,2008,38,150.0,64.0,-
347,12370,2004,338,-,85.0,-
348,495,2016,308,178.0,68.0,Gold
349,10291,2004,32,170.0,58.0,-
350,24751,2016,8,170.0,67.0,-
351,24727,2012,308,183.0,68.0,-
352,17334,2016,32,180.0,70.0,-
353,31940,2004,26,163.0,51.0,-
354,7004,2004,187,161.0,60.0,-
355,17229,2008,68,168.0,56.0,-
356,17229,2012,68,168.0,56.0,-
357,2050,2004,277,181.0,77.0,-
358,13891,2008,327,175.0,56.0,-
359,13891,2012,327,175.0,56.0,-
360,2363,2008,177,150.0,40.0,-
361,2363,2008,178,150.0,40.0,Bronze
362,2363,2008,175,150.0,40.0,-
363,2363,2008,174,150.0,40.0,-
364,36162,2012,181,194.0,104.0,Gold
365,10020,2000,214,190.0,95.0,-
366,28825,2012,14,-,-,-
367,14965,2016,265,182.0,68.0,-
368,14965,2016,275,182.0,68.0,-
369,16368,2008,11,179.0,65.0,-
370,26072,2016,224,166.0,70.0,-
371,31799,2016,224,170.0,61.0,-
372,14830,2016,308,175.0,64.0,-
373,17280,2016,298,169.0,60.0,-
374,20457,2012,205,164.0,50.0,-
375,31786,2004,302,186.0,85.0,-
376,31786,2008,302,186.0,85.0,-
377,31786,2016,302,186.0,85.0,-
378,18175,2012,62,208.0,110.0,-
379,4016,2000,308,180.0,68.0,-
380,11304,2016,37,163.0,54.0,-
381,27128,2000,29,188.0,75.0,-
382,27128,2008,29,188.0,75.0,-
383,14739,2012,30,167.0,52.0,-
384,16989,2000,6,168.0,55.0,-
385,25455,2012,63,190.0,86.0,-
386,25455,2016,63,190.0,86.0,-
387,7160,2012,330,176.0,45.0,-
388,12639,2008,358,184.0,84.0,-
389,12639,2012,358,184.0,84.0,-
390,5821,2012,216,172.0,72.0,Bronze
391,5821,2016,220,172.0,72.0,Silver
392,25682,2004,361,173.0,74.0,-
393,34930,2000,13,180.0,83.0,-
394,5154,2016,160,175.0,74.0,-
395,16968,2016,336,160.0,62.0,-
396,19391,2008,160,168.0,72.0,Gold
397,20919,2008,348,164.0,63.0,-
398,20919,2012,348,164.0,63.0,-
399,21718,2016,272,-,-,-
400,21718,2016,277,-,-,-
401,21718,2016,263,-,-,-
402,21567,2016,370,172.0,69.0,-
403,27213,2008,71,188.0,91.0,Bronze
404,30131,2008,330,190.0,62.0,-
405,33666,2016,330,182.0,70.0,-
406,29599,2008,160,184.0,70.0,-
407,1836,2000,46,188.0,66.0,-
408,1836,2004,46,188.0,66.0,-
409,1836,2008,46,188.0,66.0,-
410,1836,2012,46,188.0,66.0,-
411,7007,2008,272,192.0,89.0,-
412,7007,2012,274,192.0,89.0,-
413,29720,2016,62,208.0,109.0,-
414,3601,2016,77,177.0,75.0,-
415,22247,2012,327,162.0,51.0,-
416,24141,2004,100,165.0,58.0,-
417,31393,2016,332,172.0,67.0,-
418,37452,2012,299,160.0,-,-
419,1483,2000,226,186.0,100.0,-
420,1483,2004,226,186.0,100.0,-
421,222,2004,181,189.0,105.0,-
422,511,2008,279,162.0,60.0,-
423,6828,2016,209,202.0,105.0,-
424,11098,2008,268,190.0,80.0,-
425,13441,2012,8,178.0,79.0,-
426,19757,2016,324,162.0,54.0,-
427,34655,2004,131,169.0,61.0,-
428,34560,2008,189,171.0,69.5,-
429,34560,2012,192,171.0,69.5,-
430,25259,2012,295,172.0,72.0,-
431,3268,2012,8,180.0,79.0,-
432,3268,2012,11,180.0,79.0,-
433,3268,2012,13,180.0,79.0,-
434,3268,2016,8,180.0,79.0,-
435,3268,2016,11,180.0,79.0,-
436,3268,2016,13,180.0,79.0,-
437,25454,2012,287,173.0,65.0,-
438,25454,2016,287,173.0,65.0,-
439,7730,2000,317,188.0,79.0,-
440,11476,2000,151,177.0,70.0,-
441,11476,2000,152,177.0,70.0,-
442,19955,2016,26,178.0,64.0,-
443,20844,2004,10,189.0,70.0,-
444,20844,2008,10,189.0,70.0,-
445,20844,2008,18,189.0,70.0,-
446,20844,2012,18,189.0,70.0,-
447,20979,2012,29,194.0,87.0,-
448,21869,2016,218,174.0,73.0,-
449,26004,2012,80,164.0,51.0,Gold
450,26004,2016,80,164.0,51.0,Gold
451,27651,2016,249,185.0,98.0,-
452,28636,2016,330,188.0,81.0,Bronze
453,35070,2004,51,193.0,120.0,-
454,35070,2008,51,193.0,120.0,Gold
455,35070,2012,51,193.0,120.0,Gold
456,35070,2016,51,193.0,120.0,Silver
457,24922,2004,211,181.0,84.0,-
458,10521,2008,209,189.0,87.0,-
459,10521,2012,208,189.0,87.0,Gold
460,5854,2000,73,170.0,81.0,-
461,36643,2016,369,180.0,75.0,-
462,6546,2012,56,183.0,80.0,-
463,6546,2016,56,183.0,80.0,-
464,10707,2004,285,178.0,72.0,-
465,0,2016,56,167.0,-,-
466,23475,2000,265,179.0,70.0,-
467,23475,2000,267,179.0,70.0,-
468,15030,2008,144,181.0,70.0,-
469,15030,2008,145,181.0,70.0,-
470,14782,2008,20,188.0,88.0,-
471,14782,2012,20,188.0,88.0,-
472,14526,2016,340,162.0,92.0,-
473,27053,2008,160,181.0,82.0,Silver
474,27065,2016,39,166.0,63.0,-
475,26623,2016,367,169.0,53.0,-
476,5598,2000,289,163.0,52.0,-
477,5598,2000,294,163.0,52.0,-
478,3992,2008,160,190.0,80.0,Silver
479,4272,2008,298,175.0,67.0,-
480,207,2012,17,168.0,58.0,-
481,207,2016,17,168.0,58.0,-
482,4600,2016,223,177.0,85.0,-
483,13407,2000,6,178.0,75.0,-
484,1856,2016,371,165.0,58.0,-
485,321,2012,330,187.0,65.0,Gold
486,321,2016,330,187.0,65.0,-
487,21903,2012,35,162.0,65.0,-
488,4470,2000,31,170.0,50.0,-
489,4470,2008,49,170.0,50.0,-
490,26579,2016,49,-,-,-
491,17176,2008,339,163.0,69.0,-
492,24911,2012,33,153.0,52.0,-
493,3539,2008,366,168.0,66.0,-
494,12635,2016,203,168.0,58.0,-
495,306,2000,26,176.0,65.0,-
496,10823,2000,86,180.0,70.0,-
497,341,2016,196,165.0,65.0,-
498,6284,2012,73,175.0,80.0,-
499,1766,2000,285,173.0,61.0,-
500,4837,2016,23,188.0,80.0,-
501,16178,2012,177,153.0,38.0,-
502,16178,2012,175,153.0,38.0,-
503,16178,2012,179,153.0,38.0,-
504,16178,2012,174,153.0,38.0,-
505,29077,2008,293,179.0,70.0,Gold
506,29077,2008,296,179.0,70.0,Gold
507,29077,2012,293,179.0,70.0,Bronze
508,29077,2012,296,179.0,70.0,Bronze
509,6542,2000,8,168.0,59.0,-
510,7122,2000,62,202.0,100.0,Bronze
511,33266,2004,354,175.0,55.0,-
512,7268,2000,14,170.0,69.0,-
513,3903,2016,214,204.0,100.0,-
514,25763,2000,60,182.0,93.0,-
515,25661,2008,274,198.0,100.0,Gold
516,25661,2012,268,198.0,100.0,Gold
517,25661,2012,274,198.0,100.0,Silver
518,25661,2012,275,198.0,100.0,Gold
519,25661,2016,279,198.0,100.0,Bronze
520,25661,2016,268,198.0,100.0,Bronze
521,25661,2016,274,198.0,100.0,Gold
522,25661,2016,275,198.0,100.0,Gold
523,35285,2016,126,168.0,57.0,-
524,390,2000,63,180.0,61.0,Bronze
525,31794,2000,60,185.0,95.0,-
526,31794,2004,60,185.0,95.0,-
527,31794,2008,60,185.0,95.0,-
528,386,2000,63,170.0,65.0,Bronze
529,386,2004,63,170.0,65.0,-
530,386,2008,63,170.0,65.0,-
531,386,2012,63,170.0,65.0,-
532,386,2016,63,170.0,65.0,-
533,9337,2004,51,180.0,96.0,-
534,9337,2004,43,180.0,96.0,-
535,9337,2008,43,180.0,96.0,-
536,10948,2008,160,170.0,66.0,-
537,22736,2000,32,165.0,64.0,-
538,22736,2000,37,165.0,64.0,-
539,31648,2004,276,190.0,82.0,-
540,31648,2004,271,190.0,82.0,-
541,31648,2008,272,190.0,82.0,-
542,31648,2008,271,190.0,82.0,-
543,9875,2016,73,190.0,80.0,-
544,26916,2008,182,192.0,65.0,-
545,30324,2000,366,175.0,69.0,-
546,32097,2008,197,170.0,59.0,-
547,14946,2012,279,191.0,86.0,-
548,14946,2012,274,191.0,86.0,-
549,14946,2016,279,191.0,86.0,-
550,14946,2016,274,191.0,86.0,-
551,22339,2008,114,182.0,68.0,-
552,30972,2012,45,182.0,64.0,-
553,12347,2008,62,188.0,82.0,-
554,4999,2016,302,175.0,68.0,-
555,18879,2008,177,158.0,48.0,-
556,18879,2008,178,158.0,48.0,-
557,18879,2008,175,158.0,48.0,-
558,18879,2008,179,158.0,48.0,-
559,18879,2008,174,158.0,48.0,-
560,18879,2012,178,158.0,48.0,Silver
561,18879,2012,175,158.0,48.0,-
562,18879,2012,174,158.0,48.0,-
563,18052,2012,226,182.0,70.0,-
564,18052,2016,226,182.0,70.0,-
565,169,2004,68,169.0,54.0,-
566,10882,2012,160,186.0,74.0,-
567,512,2016,329,194.0,92.0,-
568,31952,2000,312,163.0,54.0,-
569,21082,2000,311,184.0,77.0,-
570,10090,2016,281,162.0,60.0,-
571,26686,2000,39,180.0,62.0,-
572,26686,2000,38,180.0,62.0,-
573,27324,2016,229,176.0,80.0,-
574,22271,2016,140,171.0,62.0,-
575,5717,2016,223,175.0,75.0,Bronze
576,11427,2000,332,194.0,103.0,-
577,11427,2004,332,194.0,103.0,-
578,11427,2008,332,194.0,103.0,-
579,11427,2012,332,194.0,103.0,-
580,18130,2004,332,188.0,88.0,-
581,18130,2008,332,188.0,88.0,-
582,18130,2012,332,188.0,88.0,-
583,18130,2016,332,188.0,88.0,-
584,34370,2016,223,193.0,104.0,Bronze
585,8793,2012,266,175.0,75.0,-
586,909,2000,268,190.0,86.0,-
587,909,2004,268,190.0,86.0,-
588,1715,2012,295,160.0,50.0,-
589,35378,2000,160,193.0,82.0,-
590,20574,2004,209,187.0,93.0,Bronze
591,20574,2008,214,187.0,93.0,Silver
592,20574,2012,209,187.0,93.0,-
593,20574,2016,208,187.0,93.0,-
594,9153,2000,305,173.0,59.0,-
595,9153,2000,304,173.0,59.0,-
596,10758,2000,295,170.0,55.0,-
597,30186,2004,355,186.0,96.0,-
598,6648,2016,197,164.0,66.0,Silver
599,452,2004,181,193.0,97.0,-
600,18616,2012,302,-,-,-
601,15392,2000,111,180.0,69.0,-
602,21209,2016,238,172.0,-,-
603,28807,2016,238,168.0,-,-
604,25755,2008,305,170.0,67.0,-
605,18116,2004,17,175.0,66.0,-
606,21377,2004,357,177.0,84.0,-
607,16990,2000,160,173.0,75.0,-
608,19812,2016,29,193.0,75.0,-
609,25382,2004,50,177.0,63.0,-
610,25382,2008,50,177.0,63.0,-
611,25760,2004,277,168.0,65.0,-
612,22253,2000,185,172.0,58.0,-
613,22253,2008,185,172.0,58.0,Gold
614,22253,2012,185,172.0,58.0,Gold
615,36597,2012,268,202.0,90.0,-
616,36597,2012,272,202.0,90.0,Gold
617,36597,2012,274,202.0,90.0,Gold
618,36597,2012,276,202.0,90.0,Silver
619,36597,2012,275,202.0,90.0,-
620,36597,2016,272,202.0,90.0,-
621,15117,2000,160,175.0,79.0,-
622,32152,2008,326,179.0,64.0,-
623,30653,2016,160,168.0,70.0,-
624,2884,2012,237,178.0,76.0,-
625,34910,2012,182,176.0,74.0,-
626,29273,2004,149,181.0,76.0,-
627,29273,2008,149,181.0,76.0,-
628,29273,2012,149,181.0,76.0,-
629,29273,2016,149,181.0,76.0,-
630,20164,2008,47,175.0,70.0,-
631,28858,2008,226,189.0,82.0,-
632,26490,2016,66,163.0,55.0,-
633,31616,2008,160,172.0,74.0,Gold
634,33464,2000,330,175.0,70.0,Gold
635,33464,2008,330,175.0,70.0,-
636,16208,2000,279,-,-,-
637,809,2012,14,194.0,80.0,-
638,1168,2008,49,165.0,50.0,-
639,1168,2012,49,165.0,50.0,-
640,1168,2016,49,165.0,50.0,-
641,8973,2004,184,173.0,71.0,-
642,9303,2004,63,172.0,75.0,-
643,9303,2008,63,172.0,75.0,-
644,10091,2016,45,173.0,64.0,-
645,10380,2016,160,191.0,72.0,-
646,10381,2016,163,170.0,72.0,-
647,13350,2008,332,189.0,82.0,-
648,13350,2012,332,189.0,82.0,-
649,13350,2016,332,189.0,82.0,-
650,17272,2004,87,175.0,85.0,-
651,17272,2008,85,175.0,85.0,-
652,17272,2008,84,175.0,85.0,-
653,21032,2012,182,170.0,67.0,Bronze
654,21032,2016,182,170.0,67.0,-
655,23752,2004,16,178.0,77.0,-
656,30829,2012,205,167.0,50.0,-
657,30829,2016,205,167.0,50.0,Silver
658,37371,2016,47,165.0,66.0,-
659,1958,2000,287,161.0,53.0,-
660,15445,2008,32,167.0,57.0,-
661,34550,2016,329,202.0,95.0,-
662,37170,2000,69,163.0,54.0,-
663,20560,2004,298,170.0,67.0,-
664,16827,2012,181,196.0,113.0,-
665,5546,2016,3,160.0,59.0,-
666,5546,2016,4,160.0,59.0,-
667,7166,2004,345,163.0,75.0,-
668,7166,2008,345,163.0,75.0,-
669,38260,2016,160,170.0,60.0,-
670,11043,2016,185,164.0,58.0,-
671,12191,2000,15,185.0,75.0,-
672,15147,2008,131,165.0,57.0,-
673,15147,2012,131,165.0,57.0,-
674,15147,2012,133,165.0,57.0,-
675,21729,2008,302,174.0,66.0,-
676,21729,2012,302,174.0,66.0,-
677,21729,2016,302,174.0,66.0,-
678,23039,2012,160,183.0,78.0,-
679,8270,2000,210,190.0,83.0,-
680,24182,2012,181,196.0,92.0,-
681,32669,2016,344,147.0,47.0,Silver
682,762,2000,11,169.0,70.0,-
683,25947,2000,10,169.0,61.0,-
684,29791,2000,330,172.0,67.0,-
685,29791,2004,330,172.0,67.0,-
686,29791,2008,330,172.0,67.0,Silver
687,16961,2008,56,155.0,57.0,-
688,10507,2008,32,160.0,50.0,-
689,10507,2012,32,160.0,50.0,-
690,37186,2004,187,167.0,60.0,-
691,37186,2008,187,167.0,60.0,-
